"VAR","RESPONSE","MEANING"
"WR68_01a",1,"nicht gewählt"
"WR68_01a",2,"ausgewählt"
"WR69_01a",1,"nicht gewählt"
"WR69_01a",2,"ausgewählt"
"WR70_01a",1,"nicht gewählt"
"WR70_01a",2,"ausgewählt"
"WR71_01a",1,"nicht gewählt"
"WR71_01a",2,"ausgewählt"
"WR72_01a",1,"nicht gewählt"
"WR72_01a",2,"ausgewählt"
"WR73_01a",1,"nicht gewählt"
"WR73_01a",2,"ausgewählt"
"WR74_01a",1,"nicht gewählt"
"WR74_01a",2,"ausgewählt"
"WR75_01a",1,"nicht gewählt"
"WR75_01a",2,"ausgewählt"
"WS01_01a",1,"nicht gewählt"
"WS01_01a",2,"ausgewählt"
"WS02_01a",1,"nicht gewählt"
"WS02_01a",2,"ausgewählt"
"WS03_01a",1,"nicht gewählt"
"WS03_01a",2,"ausgewählt"
"WS04_01a",1,"nicht gewählt"
"WS04_01a",2,"ausgewählt"
"WS05_01a",1,"nicht gewählt"
"WS05_01a",2,"ausgewählt"
"WS06_01a",1,"nicht gewählt"
"WS06_01a",2,"ausgewählt"
"WS07_01a",1,"nicht gewählt"
"WS07_01a",2,"ausgewählt"
"WS08_01a",1,"nicht gewählt"
"WS08_01a",2,"ausgewählt"
"WS09_01a",1,"nicht gewählt"
"WS09_01a",2,"ausgewählt"
"WS10_01a",1,"nicht gewählt"
"WS10_01a",2,"ausgewählt"
"WS11_01a",1,"nicht gewählt"
"WS11_01a",2,"ausgewählt"
"WS12_01a",1,"nicht gewählt"
"WS12_01a",2,"ausgewählt"
"WS13_01a",1,"nicht gewählt"
"WS13_01a",2,"ausgewählt"
"WS14_01a",1,"nicht gewählt"
"WS14_01a",2,"ausgewählt"
"WS15_01a",1,"nicht gewählt"
"WS15_01a",2,"ausgewählt"
"WS16_01a",1,"nicht gewählt"
"WS16_01a",2,"ausgewählt"
"WS17_01a",1,"nicht gewählt"
"WS17_01a",2,"ausgewählt"
"WS18_01a",1,"nicht gewählt"
"WS18_01a",2,"ausgewählt"
"WS19_01a",1,"nicht gewählt"
"WS19_01a",2,"ausgewählt"
"WS20_01a",1,"nicht gewählt"
"WS20_01a",2,"ausgewählt"
"WS21_01a",1,"nicht gewählt"
"WS21_01a",2,"ausgewählt"
"WS22_01a",1,"nicht gewählt"
"WS22_01a",2,"ausgewählt"
"WS23_01a",1,"nicht gewählt"
"WS23_01a",2,"ausgewählt"
"WS24_01a",1,"nicht gewählt"
"WS24_01a",2,"ausgewählt"
"WS25_01a",1,"nicht gewählt"
"WS25_01a",2,"ausgewählt"
"WS26_01a",1,"nicht gewählt"
"WS26_01a",2,"ausgewählt"
"WS27_01a",1,"nicht gewählt"
"WS27_01a",2,"ausgewählt"
"WS28_01a",1,"nicht gewählt"
"WS28_01a",2,"ausgewählt"
"WS29_01a",1,"nicht gewählt"
"WS29_01a",2,"ausgewählt"
"WS30_01a",1,"nicht gewählt"
"WS30_01a",2,"ausgewählt"
"WS31_01a",1,"nicht gewählt"
"WS31_01a",2,"ausgewählt"
"FINISHED",0,"abgebrochen"
"FINISHED",1,"ausgefüllt"
"Q_VIEWER",0,"Teilnehmer"
"Q_VIEWER",1,"Durchklicker"
